id,name,card_no,card_provider,shop_no,shop_name,loc,prd_name,price,result,txdate
ojeongsig,ìµ__,2.25364E+15,VISA 19 digit,23237339,ì»¤í_ë§¬ë_,"37.6164, 127.0782",ì»·í_,6000,¹ì_,2022.11.29 10:02
haeunseo,´ì_,3.56689E+15,JCB 15 digit,21728370,¨ê_ëª¨í_,"37.4834, 126.8965",ì»¤í_,10000,¹ì_,2022.12.3 20:50
areum59,_,3.00844E+13,Discover,24930960,¤ì_¸ë_°ì_,"37.641, 127.0284",ì§¬ë_,4000,¹ì_,2022.11.30 1:33
yeongilha,´ì_ì¤,5.79116E+11,Maestro,15799510,´ì__³µ¸ì_ê°__¬ë¬´,"37.4956, 127.1458",__ë¶ì°__,6000,¹ì_,2022.12.4 9:28
jeongsun18,ê¹__,2.71524E+15,American Express,24898908,¤ì___,"37.5398, 126.9489",__,6500,¹ì_,2022.12.2 14:13
sunog12,__,3.49108E+14,VISA 16 digit,25603562,ê°ì§_°°°ë¦¬,"37.502, 126.8761",ê°__ë³´ë¦¬ë°,6000,¹ì_,2022.12.2 12:19
ei,¤ì_,3.51436E+15,American Express,19967250,___,"37.5573, 127.0111",©í_´ì_êµ,7000,¹ì_,2022.11.28 14:41
eunjugim,ê¹__,4.93896E+18,Mastercard,24501372,____,"37.4545, 127.0467",__,25000,¹ì_,2022.12.3 13:38
minseogji,ê¹_,3.59728E+15,American Express,24646899,¤ë___,"37.6083, 127.0996",__ì°__,6000,¹ì_,2022.12.4 21:29
pji,__ì²,3.64672E+13,JCB 16 digit,25623767,°ë__,"37.4983, 126.9521",__ê²¹ì_(180g),14000,¹ì_,2022.11.29 11:51
minjigim,ê¹ë¯¼ì,3.569E+15,JCB 15 digit,25990822,ì»´í__,"37.4819, 126.8789",ê¹ì¹__ê°,4000,¹ì_,2022.12.4 3:15
gcoe,ì¡°ì_,2.28379E+15,Mastercard,24321259,¤ë_¼ì¹´__,"37.565, 127.0869",ì§__ë©,4000,¹ì_,2022.11.30 5:38
tbag,ê¹,3.58903E+15,Maestro,11752802,__ì»¤í____·¸ë§___,"37.5146, 127.1025",¼ê²¹(200g),6000,¹ì_,2022.11.28 10:59
zgim,ë°_,6.01145E+15,Discover,24459218,ëª¨ë_´í___êµ__,"37.487, 127.0072",__,20000,¹ì_,2022.12.4 4:39
doyunyun,__,6.75986E+11,JCB 16 digit,22161429,ì»´ë_119ê°__2,"37.4942, 127.0776",¼ìê°__(êµ_200g),1000,¹ì_,2022.12.5 0:55
ogwag,ë°__,4.30108E+12,VISA 16 digit,12430691,CU,"37.5309, 127.0058", __ì°__ ,4000,¹ì_,2022.11.28 17:10
jeongnamgim,ê¹__,4.07249E+12,JCB 16 digit,24806694,__¼í,"37.551, 127.0906",ë¶__ê¸°ì_,7000,¹ì_,2022.12.5 17:17
jinho35,ê¹¬í_,4.0916E+15,Mastercard,17258133,AISUMA,"37.5155, 127.0427",__ì°__,5000,¹ì_,2022.11.30 22:25
sanghungim,ê¹_,3.5219E+15,American Express,23412756,´ë_¼ì»¤,"37.5043, 126.9222",_,5500,¹ì_,2022.11.30 1:49
igyeongsu,ê³__ë¯,6.59418E+15,VISA 13 digit,24788531,ì°¸ì_´ë_ê°´ê,"37.5484, 126.8357",__ë¶ì°__,6000,¹ì_,2022.12.1 16:37
donghyeon52,êµ¬ë_,3.54154E+15,JCB 16 digit,23248462,ë£¨ì_,"37.4906, 127.0343",¼ê²¹,10000,¹ì_,2022.11.28 17:05
gimsubin,©í_ì¤,4.24271E+15,VISA 16 digit,17261146,ì¹´í___,"37.5057, 127.0406",ë¹__ë°,3500,¹ì_,2022.11.29 17:23
minseo61,´ì,4.29109E+18,VISA 16 digit,25073561,__¬ëª¨,"37.5087, 126.9367",ê³°í_,6000,¹ì_,2022.12.4 16:30
seungminim,ë°°ë_,3.00892E+13,American Express,21872612,¤ë_´ì_,"37.6702, 127.0547",³°(),6000,¹ì_,2022.12.4 20:35
jaehyeon70,ë°_ì§,4.86085E+15,JCB 16 digit,23692034,ë¦¬ì_,"37.6556, 127.0415",ëª©ì_ë£,6000,¹ì_,2022.12.3 6:12
iboram,ë°__,6.75955E+11,JCB 16 digit,21710590,¤ì_ë¬¸í_,"37.5507, 126.9377",ê¸__ë©__ __,5000,¹ì_,2022.12.3 17:58
sangceol94,¡ì_ë¯,3.70334E+14,JCB 16 digit,22828958,__ë¶__,"37.5368, 127.1393",__ì°__,5000,¹ì_,2022.12.5 0:29
gimjeongsu,ë°__,3.57651E+15,Maestro,16518284,__¬ì_,"37.5691, 127.0789",ì²µ­,8000,¹ì_,2022.12.1 23:19
bagujin,ê¹__,3.78421E+14,Diners Club / Carte Blanche,16998053,__¼ì_______¨ëª°,"37.5252, 126.9249",¼ê²¹,11000,¹ì_,2022.11.29 14:44
minjae79,´ì_,3.5243E+15,VISA 13 digit,22140146,ë§¤ì_ë¬¸êµ¬,"37.5249, 126.8637",ê³°í_,6000,¹ì_,2022.12.5 0:09
vsong,_ì§,3.71379E+14,Mastercard,15632350,¼ì_ë¯¸ë___,"37.5001, 126.9308",ë¯¸ì_ë£(__),30000,¹ì_,2022.12.4 20:20
subin57,ê¹__,5.01887E+11,Mastercard,16627433,¼ë___ë²__,"37.5135, 126.9125",¼ê²¹(200g/êµ_),11600,¹ì_,2022.11.28 18:04
jeongunggim,ë¬¸ì_ì²,3.56812E+15,VISA 13 digit,17256380,¤ì_,"37.5269, 127.0457",ì§__+ì§¬ë_+___et,10000,¹ì_,2022.12.2 12:19
cunjabag,ì§_,6.01118E+15,VISA 19 digit,26314072,____,"37.5592, 126.9776",_³µ__ë£(ë°_),3000,¹ì_,2022.11.28 16:50
jongsui,__,6.75962E+11,Maestro,25515762,ë¯¸ë_ë¶__,"37.4841, 126.9534",µì_´í_,10000,¹ì_,2022.12.5 11:09
jinuhong,ê¹_,3.87218E+13,Maestro,12104909,¤ì_ì¿__,"37.4932, 126.8432",__,35000,¹ì_,2022.12.4 19:10
byeongceol63,ê¹__,1.80077E+14,American Express,25797912,__ë¦¼ë__,"37.512, 126.8376",ëª¨ë_ì´_°¥(10p),5000,¹ì_,2022.12.3 9:24
